second, t_delta, rpm
1.94, 0.030000000000000027, 1999.9999999999982
1.97, 0.050000000000000044, 1199.9999999999989
2.02, 0.029999999999999805, 2000.000000000013
2.05, 0.050000000000000266, 1199.9999999999936
2.1, 0.029999999999999805, 2000.000000000013
2.13, 0.050000000000000266, 1199.9999999999936
2.18, 0.029999999999999805, 2000.000000000013
2.21, 0.03000000000000025, 1999.9999999999834
2.24, 0.019999999999999574, 3000.000000000064
2.26, 0.03000000000000025, 1999.9999999999834
2.29, 0.029999999999999805, 2000.000000000013
2.32, 0.050000000000000266, 1199.9999999999936
2.37, 0.029999999999999805, 2000.000000000013
2.4, 0.03000000000000025, 1999.9999999999834
2.43, 0.029999999999999805, 2000.000000000013
2.46, 0.020000000000000018, 2999.9999999999973
2.48, 0.029999999999999805, 2000.000000000013
2.51, 0.03000000000000025, 1999.9999999999834
2.54, 0.029999999999999805, 2000.000000000013
2.57, 0.03000000000000025, 1999.9999999999834
2.6, 0.020000000000000018, 2999.9999999999973
2.62, 0.029999999999999805, 2000.000000000013
2.65, 0.03000000000000025, 1999.9999999999834
2.68, 0.029999999999999805, 2000.000000000013
2.71, 0.03000000000000025, 1999.9999999999834
2.74, 0.029999999999999805, 2000.000000000013
2.77, 0.020000000000000018, 2999.9999999999973
2.79, 0.029999999999999805, 2000.000000000013
2.82, 0.03000000000000025, 1999.9999999999834
2.85, 0.029999999999999805, 2000.000000000013
2.88, 0.03000000000000025, 1999.9999999999834
2.91, 0.029999999999999805, 2000.000000000013
2.94, 0.03000000000000025, 1999.9999999999834
2.97, 0.029999999999999805, 2000.000000000013
3.0, 0.029999999999999805, 2000.000000000013
3.03, 0.03000000000000025, 1999.9999999999834
3.06, 0.029999999999999805, 2000.000000000013
3.09, 0.03000000000000025, 1999.9999999999834
3.12, 0.029999999999999805, 2000.000000000013
3.15, 0.020000000000000018, 2999.9999999999973
3.17, 0.03000000000000025, 1999.9999999999834
3.2, 0.029999999999999805, 2000.000000000013
3.23, 0.029999999999999805, 2000.000000000013
3.26, 0.040000000000000036, 1499.9999999999986
3.3, 0.03000000000000025, 1999.9999999999834
3.33, 0.029999999999999805, 2000.000000000013
3.36, 0.03000000000000025, 1999.9999999999834
3.39, 0.029999999999999805, 2000.000000000013
3.42, 0.03000000000000025, 1999.9999999999834
3.45, 0.029999999999999805, 2000.000000000013
3.48, 0.029999999999999805, 2000.000000000013
3.51, 0.03000000000000025, 1999.9999999999834
3.54, 0.029999999999999805, 2000.000000000013
3.57, 0.03000000000000025, 1999.9999999999834
3.6, 0.029999999999999805, 2000.000000000013
3.63, 0.03000000000000025, 1999.9999999999834
3.66, 0.040000000000000036, 1499.9999999999986
3.7, 0.029999999999999805, 2000.000000000013
3.73, 0.029999999999999805, 2000.000000000013
3.76, 0.03000000000000025, 1999.9999999999834
3.79, 0.029999999999999805, 2000.000000000013
3.82, 0.040000000000000036, 1499.9999999999986
3.86, 0.03000000000000025, 1999.9999999999834
3.89, 0.029999999999999805, 2000.000000000013
3.92, 0.03000000000000025, 1999.9999999999834
3.95, 0.029999999999999805, 2000.000000000013
3.98, 0.03999999999999959, 1500.0000000000152
4.02, 0.03000000000000025, 1999.9999999999834
4.05, 0.03000000000000025, 1999.9999999999834
4.08, 0.03000000000000025, 1999.9999999999834
4.11, 0.040000000000000036, 1499.9999999999986
4.15, 0.02999999999999936, 2000.0000000000427
4.18, 0.03000000000000025, 1999.9999999999834
4.21, 0.040000000000000036, 1499.9999999999986
4.25, 0.03000000000000025, 1999.9999999999834
4.28, 0.02999999999999936, 2000.0000000000427
